0.561312, 0.575443
0.539473, 0.569009
0.544742, 0.582363
0.552375, 0.585038
0.567199, 0.585865
0.577764, 0.590966
0.574607, 0.596665
0.568918, 0.584396
0.5535, 0.574724
0.525565, 0.544982
0.518822, 0.531947
0.519396, 0.538988
0.528205, 0.540182
0.5338, 0.548657
0.531304, 0.55424
0.529246, 0.537202
0.50733, 0.517812
0.50329, 0.515707
0.498652, 0.503076
0.492466, 0.485203
0.475614, 0.469328
0.480249, 0.484899
0.488973, 0.493669
0.491204, 0.511753
0.49475, 0.524487
0.498942, 0.537619
0.513481, 0.554171
0.508396, 0.56418
0.512854, 0.5603
0.486626, 0.513883
0.4931, 0.528885
0.494591, 0.529402
0.504791, 0.538984
0.498642, 0.521772
0.506112, 0.528764
0.49802, 0.513779
0.503155, 0.519327
0.494656, 0.518848
0.495661, 0.518776
0.492883, 0.522964
0.492593, 0.518585
0.491928, 0.525712
0.505885, 0.531767
0.506419, 0.541858
0.49953, 0.542261
0.500146, 0.514347
0.494108, 0.521706
0.49821, 0.520034
0.498246, 0.520729
